"name","fan_pts_2016","owner_2016","keeper_2016","name","rank_proj_2017"
"A.J. Green",120,"toomanykids",TRUE,"A.J. Green / Cin / WR",12
"Aaron Rodgers",363,"ChildPlease",TRUE,"Aaron Rodgers / GB / QB",30
"Adrian Peterson",4,"Romocop",TRUE,"Adrian Peterson / NO / RB",68
"Allen Robinson",120,"C$",TRUE,"Allen Robinson / Jax / WR",40
"Alshon Jeffery",90,"ChildPlease",TRUE,"Alshon Jeffery / Phi / WR",39
"Amari Cooper",143,"Grey Nut Grabbers",FALSE,"Amari Cooper / Oak / WR",24
"Andrew Luck",278,"The White Walkers",FALSE,"Andrew Luck / Ind / QB",47
"Anquan Boldin",99,"Wasteland Warriors",FALSE,"Anquan Boldin / Det / WR",235
"Antonio Brown",196,"C$",TRUE,"Antonio Brown / Pit / WR",3
"Ben Roethlisberger",232,"toomanykids",FALSE,"Ben Roethlisberger / Pit / QB",81
"Brandin Cooks",162,"toomanykids",TRUE,"Brandin Cooks / NE / WR",26
"Brandon Marshall",91,"He Hate Me",TRUE,"Brandon Marshall / NYG / WR",79
"C.J. Anderson",81,"C$",FALSE,"C.J. Anderson / Den / RB",55
"Cam Newton",212,"Romocop",TRUE,"Cam Newton / Car / QB",77
"Cameron Brate",106,"Grey Nut Grabbers",FALSE,"Cameron Brate / TB / TE",142
"Carlos Hyde",156,"Romocop",FALSE,"Carlos Hyde / SF / RB",43
"Cole Beasley",105,"toomanykids",FALSE,"Cole Beasley / Dal / WR",179
"Dak Prescott",244,"The White Walkers",FALSE,"Dak Prescott / Dal / QB",98
"Darren Sproles",98,"Purple People Beater",FALSE,"Darren Sproles / Phi / RB",174
"Davante Adams",170,"He Hate Me",FALSE,"Davante Adams / GB / WR",44
"David Johnson",318,"Wasteland Warriors",TRUE,"David Johnson / Ari / RB",1
"DeAndre Hopkins",114,"Grey Nut Grabbers",TRUE,"DeAndre Hopkins / Hou / WR",25
"Delanie Walker",118,"He Hate Me",FALSE,"Delanie Walker / Ten / TE",78
"DeMarco Murray",236,"Wasteland Warriors",FALSE,"DeMarco Murray / Ten / RB",16
"Demaryius Thomas",132,"Purple People Beater",FALSE,"Demaryius Thomas / Den / WR",29
"Dennis Pitta",77,"ChildPlease",FALSE,"Dennis Pitta / Bal / TE",287
"Derek Carr",238,"Wasteland Warriors",FALSE,"Derek Carr / Oak / QB",109
"DeSean Jackson",123,"The White Walkers",FALSE,"DeSean Jackson / TB / WR",76
"Devonta Freeman",218,"Grey Nut Grabbers",TRUE,"Devonta Freeman / Atl / RB",13
"Devontae Booker",98,"toomanykids",FALSE,"Devontae Booker / Den / RB",294
"Dez Bryant",131,"Romocop",TRUE,"Dez Bryant / Dal / WR",19
"Donte Moncrief",69,"Salamander Fiends",FALSE,"Donte Moncrief / Ind / WR",75
"Doug Baldwin",157,"He Hate Me",FALSE,"Doug Baldwin / Sea / WR",20
"Doug Martin",66,"ChildPlease",TRUE,"Doug Martin / TB / RB",87
"Drew Brees",304,"Salamander Fiends",TRUE,"Drew Brees / NO / QB",41
"Duke Johnson Jr.",78,"Romocop",FALSE,"Duke Johnson Jr. / Cle / RB",139
"Eli Manning",193,"Romocop",FALSE,"Eli Manning / NYG / QB",114
"Emmanuel Sanders",128,"Purple People Beater",FALSE,"Emmanuel Sanders / Den / WR",52
"Ezekiel Elliott",287,"He Hate Me",FALSE,"Ezekiel Elliott / Dal / RB",4
"Frank Gore",166,"toomanykids",FALSE,"Frank Gore / Ind / RB",72
"Golden Tate",127,"ChildPlease",FALSE,"Golden Tate / Det / WR",74
"Greg Olsen",123,"Romocop",FALSE,"Greg Olsen / Car / TE",46
"Isaiah Crowell",157,"toomanykids",FALSE,"Isaiah Crowell / Cle / RB",23
"J.J. Nelson",99,"Wasteland Warriors",FALSE,"J.J. Nelson / Ari / WR",170
"Jamaal Charles",10,"Grey Nut Grabbers",TRUE,"Jamaal Charles / Den / RB",166
"Jameis Winston",219,"C$",FALSE,"Jameis Winston / TB / QB",71
"Jamison Crowder",125,"Romocop",FALSE,"Jamison Crowder / Was / WR",62
"Jared Cook",37,"ChildPlease",FALSE,"Jared Cook / Oak / TE",193
"Jarvis Landry",132,"The White Walkers",FALSE,"Jarvis Landry / Mia / WR",60
"Jay Ajayi",181,"Grey Nut Grabbers",FALSE,"Jay Ajayi / Mia / RB",11
"Jeremy Hill",149,"C$",FALSE,"Jeremy Hill / Cin / RB",138
"Jerick McKinnon",95,"Romocop",FALSE,"Jerick McKinnon / Min / RB",291
"Jimmy Graham",121,"The White Walkers",FALSE,"Jimmy Graham / Sea / TE",58
"Jonathan Stewart",130,"C$",FALSE,"Jonathan Stewart / Car / RB",102
"Jordan Howard",196,"ChildPlease",FALSE,"Jordan Howard / Chi / RB",10
"Jordan Matthews",92,"Purple People Beater",FALSE,"Jordan Matthews / Phi / WR",117
"Jordan Reed",98,"Wasteland Warriors",FALSE,"Jordan Reed / Was / TE",50
"Jordy Nelson",205,"Grey Nut Grabbers",TRUE,"Jordy Nelson / GB / WR",14
"Julian Edelman",124,"He Hate Me",FALSE,"Julian Edelman / NE / WR",56
"Julio Jones",177,"C$",TRUE,"Julio Jones / Atl / WR",8
"Kelvin Benjamin",129,"Wasteland Warriors",FALSE,"Kelvin Benjamin / Car / WR",82
"Kenneth Farrow",18,"He Hate Me",FALSE,NA,NA
"Kenny Britt",123,"Salamander Fiends",FALSE,"Kenny Britt / Cle / WR",105
"Kirk Cousins",249,"toomanykids",FALSE,"Kirk Cousins / Was / QB",85
"Kyle Rudolph",121,"toomanykids",FALSE,"Kyle Rudolph / Min / TE",90
"Lamar Miller",152,"Purple People Beater",TRUE,"Lamar Miller / Hou / RB",21
"Larry Fitzgerald",132,"ChildPlease",FALSE,"Larry Fitzgerald / Ari / WR",64
"Latavius Murray",166,"Purple People Beater",FALSE,"Latavius Murray / Min / RB",103
"Le'Veon Bell",237,"Salamander Fiends",TRUE,"Le'Veon Bell / Pit / RB",2
"LeGarrette Blount",222,"Salamander Fiends",FALSE,"LeGarrette Blount / Phi / RB",59
"LeSean McCoy",245,"Salamander Fiends",TRUE,"LeSean McCoy / Buf / RB",7
"Malcolm Mitchell",59,"C$",FALSE,"Malcolm Mitchell / NE / WR",178
"Marcus Mariota",231,"Wasteland Warriors",FALSE,"Marcus Mariota / Ten / QB",63
"Mark Ingram",184,"Purple People Beater",TRUE,"Mark Ingram / NO / RB",54
"Martellus Bennett",108,"Purple People Beater",FALSE,"Martellus Bennett / GB / TE",92
"Matt Forte",143,"ChildPlease",FALSE,"Matt Forte / NYJ / RB",95
"Matt Ryan",316,"Salamander Fiends",FALSE,"Matt Ryan / Atl / QB",67
"Matthew Stafford",233,"Grey Nut Grabbers",FALSE,"Matthew Stafford / Det / QB",106
"Melvin Gordon",202,"He Hate Me",FALSE,"Melvin Gordon / LAC / RB",9
"Michael Crabtree",147,"C$",FALSE,"Michael Crabtree / Oak / WR",45
"Michael Thomas",160,"The White Walkers",FALSE,"Michael Thomas / NO / WR",15
"Mike Evans",204,"The White Walkers",TRUE,"Mike Evans / TB / WR",6
"Mike Wallace",126,"toomanykids",FALSE,"Mike Wallace / Bal / WR",116
"Mohamed Sanu",83,"toomanykids",FALSE,"Mohamed Sanu / Atl / WR",211
"Odell Beckham Jr.",192,"Wasteland Warriors",TRUE,"Odell Beckham Jr. / NYG / WR",5
"Philip Rivers",234,"Purple People Beater",FALSE,"Philip Rivers / LAC / QB",94
"Pierre Garcon",114,"Wasteland Warriors",FALSE,"Pierre Garcon / SF / WR",89
"Rashad Jennings",92,"Purple People Beater",FALSE,"Rashad Jennings / NYG / RB",275
"Rishard Matthews",144,"Grey Nut Grabbers",FALSE,"Rishard Matthews / Ten / WR",124
"Rob Gronkowski",72,"ChildPlease",TRUE,"Rob Gronkowski / NE / TE",31
"Rob Kelley",111,"The White Walkers",FALSE,"Rob Kelley / Was / RB",129
"Russell Wilson",216,"He Hate Me",TRUE,"Russell Wilson / Sea / QB",65
"Ryan Mathews",127,"toomanykids",FALSE,"Ryan Mathews / Phi / RB",210
"Sammy Watkins",54,"Salamander Fiends",FALSE,"Sammy Watkins / Buf / WR",38
"Spencer Ware",149,"Romocop",FALSE,"Spencer Ware / KC / RB",49
"Stefon Diggs",106,"Salamander Fiends",FALSE,"Stefon Diggs / Min / WR",100
"Sterling Shepard",115,"Romocop",FALSE,"Sterling Shepard / NYG / WR",149
"Steve Smith Sr.",108,"ChildPlease",FALSE,NA,NA
"T.Y. Hilton",182,"Purple People Beater",TRUE,"T.Y. Hilton / Ind / WR",18
"Tavon Austin",78,"ChildPlease",FALSE,"Tavon Austin / LAR / WR",199
"Taylor Gabriel",98,"Grey Nut Grabbers",FALSE,"Taylor Gabriel / Atl / WR",172
"Terrance West",125,"The White Walkers",FALSE,"Terrance West / Bal / RB",137
"Terrelle Pryor Sr.",129,"C$",FALSE,"Terrelle Pryor Sr. / Was / WR",36
"Tevin Coleman",149,"Salamander Fiends",FALSE,"Tevin Coleman / Atl / RB",61
"Theo Riddick",99,"C$",FALSE,"Theo Riddick / Det / RB",111
"Thomas Rawls",57,"He Hate Me",TRUE,"Thomas Rawls / Sea / RB",140
"Todd Gurley",141,"The White Walkers",TRUE,"Todd Gurley / LAR / RB",22
"Tom Brady",241,"He Hate Me",FALSE,"Tom Brady / NE / QB",35
"Travis Kelce",139,"Grey Nut Grabbers",FALSE,"Travis Kelce / KC / TE",33
"Ty Montgomery",88,"Grey Nut Grabbers",FALSE,"Ty Montgomery / GB / RB",37
"Tyler Boyd",61,"Wasteland Warriors",FALSE,"Tyler Boyd / Cin / WR",221
"Tyler Eifert",65,"Purple People Beater",FALSE,"Tyler Eifert / Cin / TE",86
"Tyreek Hill",144,"Salamander Fiends",FALSE,"Tyreek Hill / KC / WR",42
"Tyrell Williams",145,"Romocop",FALSE,"Tyrell Williams / LAC / WR",80
"Willie Snead",114,"He Hate Me",FALSE,"Willie Snead / NO / WR",70
"Zach Ertz",100,"Salamander Fiends",FALSE,"Zach Ertz / Phi / TE",97
