"name","rank_proj","bye"
"Denver / Den / DEF","128","5"
"Seattle / Sea / DEF","131","6"
"Houston / Hou / DEF","133","7"
"Kansas City / KC / DEF","143","10"
"Arizona / Ari / DEF","151","8"
"Minnesota / Min / DEF","154","9"
"New England / NE / DEF","155","9"
"Carolina / Car / DEF","165","11"
"Los Angeles / LAR / DEF","175","8"
"Baltimore / Bal / DEF","187","10"
"New York / NYG / DEF","188","8"
"Pittsburgh / Pit / DEF","189","9"
"Green Bay / GB / DEF","200","8"
"Oakland / Oak / DEF","201","10"
"Jacksonville / Jax / DEF","202","8"
"Cincinnati / Cin / DEF","206","6"
"New York / NYJ / DEF","218","11"
"Atlanta / Atl / DEF","227","5"
"Tennessee / Ten / DEF","228","8"
"Dallas / Dal / DEF","231","6"
"Buffalo / Buf / DEF","236","6"
"Detroit / Det / DEF","245","7"
"Philadelphia / Phi / DEF","250","10"
"Miami / Mia / DEF","253","11"
"Los Angeles / LAC / DEF","270","9"
"Tampa Bay / TB / DEF","283","11"
"Washington / Was / DEF","295","5"
"Indianapolis / Ind / DEF","1878","11"
"Chicago / Chi / DEF","1899","9"
"New Orleans / NO / DEF","2100","5"
"San Francisco / SF / DEF","2119","11"
"Cleveland / Cle / DEF","2499","9"
