"name","rank_proj","bye"
"Stephen Gostkowski / NE / K","162","9"
"Justin Tucker / Bal / K","163","10"
"Mason Crosby / GB / K","169","8"
"Dan Bailey / Dal / K","173","6"
"Matt Bryant / Atl / K","191","5"
"Adam Vinatieri / Ind / K","192","11"
"Steven Hauschka / Buf / K","194","6"
"Sebastian Janikowski / Oak / K","203","10"
"Brandon McManus / Den / K","209","5"
"Chandler Catanzaro / NYJ / K","213","11"
"Matt Prater / Det / K","214","7"
"Cairo Santos / KC / K","216","10"
"Graham Gano / Car / K","225","11"
"Wil Lutz / NO / K","241","5"
"Phil Dawson / Ari / K","243","8"
"Chris Boswell / Pit / K","246","9"
"Josh Lambo / LAC / K","248","9"
"Ryan Succop / Ten / K","252","8"
"Mike Nugent / Cin / K","254","6"
"Nick Novak / Hou / K","257","7"
"Roberto Aguayo / TB / K","260","11"
"Dustin Hopkins / Was / K","264","5"
"Caleb Sturgis / Phi / K","266","10"
"Kai Forbath / Min / K","285","9"
"Jason Myers / Jax / K","288","8"
"Nick Folk / TB / K","309","11"
"Blair Walsh / Sea / K","1877","6"
"Randy Bullock / Cin / K","1884","6"
"Dan Carpenter / Buf / K","1885","6"
"Connor Barth / Chi / K","1911","9"
"Robbie Gould / SF / K","1925","11"
"Cody Parkey / Cle / K","1931","9"
"Andrew Franks / Mia / K","1940","11"
"Greg Zuerlein / LAR / K","1949","8"
"Jake Elliott / Cin / K","2543","6"
"Brett Maher / Cle / K","2544","9"
"Aldrick Rosas / NYG / K","2545","8"
"Andy Phillips / Chi / K","2546","9"
"Bobby Puyol / Bal / K","2547","10"
"Mike Meyer / Atl / K","2548","5"
"John Lunsford / Sea / K","2549","6"
"Ka'imi Fairbairn / Hou / K","2550","7"
"Harrison Butker / Car / K","2551","11"
"Zane Gonzalez / Cle / K","2552","9"
"Younghoe Koo / LAC / K","2553","9"
"Marshall Koehn / Min / K","2554","9"
"Kenny Allen / Bal / K","2555","10"
"Nick Rose / SF / K","2556","11"
"Jonathan Brown / Cin / K","2557","6"
"Cory Carter / Hou / K","2558","7"
"Ross Martin / NYJ / K","2559","11"
"Giorgio Tavecchio / Oak / K","2560","10"
"Devon Bell / Ind / K","2561","11"
"Jordan Gay / Ten / K","2599","8"
