"name","rank_proj","bye"
"Aaron Rodgers / GB / QB","30","8"
"Tom Brady / NE / QB","35","9"
"Drew Brees / NO / QB","41","5"
"Andrew Luck / Ind / QB","47","11"
"Marcus Mariota / Ten / QB","63","8"
"Russell Wilson / Sea / QB","65","6"
"Matt Ryan / Atl / QB","67","5"
"Jameis Winston / TB / QB","71","11"
"Cam Newton / Car / QB","77","11"
"Ben Roethlisberger / Pit / QB","81","9"
"Kirk Cousins / Was / QB","85","5"
"Philip Rivers / LAC / QB","94","9"
"Dak Prescott / Dal / QB","98","6"
"Andy Dalton / Cin / QB","104","6"
"Matthew Stafford / Det / QB","106","7"
"Derek Carr / Oak / QB","109","10"
"Tyrod Taylor / Buf / QB","112","6"
"Eli Manning / NYG / QB","114","8"
"Blake Bortles / Jax / QB","126","8"
"Carson Wentz / Phi / QB","127","10"
"Carson Palmer / Ari / QB","132","8"
"Ryan Tannehill / Mia / QB","145","11"
"Joe Flacco / Bal / QB","153","10"
"Alex Smith / KC / QB","180","10"
"Sam Bradford / Min / QB","181","9"
"Deshaun Watson / Hou / QB","185","7"
"Mike Glennon / Chi / QB","219","9"
"Trevor Siemian / Den / QB","220","5"
"Brian Hoyer / SF / QB","223","11"
"Cody Kessler / Cle / QB","224","9"
"Paxton Lynch / Den / QB","239","5"
"Josh McCown / NYJ / QB","242","11"
"Jared Goff / LAR / QB","258","8"
"Colin Kaepernick / SF / QB","274","11"
"Blaine Gabbert / Ari / QB","1866","8"
"Matt Moore / Mia / QB","1909","11"
"Brock Osweiler / Cle / QB","1920","9"
"Robert Griffin III / Cle / QB","1929","9"
"Ryan Fitzpatrick / TB / QB","2074","11"
"Case Keenum / Min / QB","2476","9"
"Jay Cutler / Chi / QB","2490","9"
"Matt Barkley / SF / QB","2498","11"
"Teddy Bridgewater / Min / QB","2637","9"
"Tony Romo / Dal / QB","2641","6"
"Brandon Weeden / Hou / QB","2642","7"
"Johnny Manziel / Cle / QB","2643","9"
"Nick Foles / Phi / QB","2644","10"
"Taysom Hill / GB / QB","2645","8"
"Mike Bercovici / LAC / QB","2646","9"
"Matt Simms / Atl / QB","2647","5"
"Dustin Vaughan / Bal / QB","2648","10"
"Ryan Nassib / NO / QB","2649","5"
"Garrett Gilbert / Car / QB","2650","11"
"Austin Appleby / Dal / QB","2651","6"
"Zach Terrell / Bal / QB","2652","10"
"Austin Davis / Sea / QB","2653","6"
"Stephen Morris / Ind / QB","2654","11"
"Dane Evans / Phi / QB","2655","10"
"Kyle Sloter / Den / QB","2656","5"
"Chad Kelly / Den / QB","2657","5"
"Dan Orlovsky / LAR / QB","2658","8"
"Taylor Heinicke / Min / QB","2659","9"
"Kevin Hogan / Cle / QB","2660","9"
"Jeff Driskel / Cin / QB","2661","6"
"Tyler Bray / KC / QB","2662","10"
"Ryan Griffin / TB / QB","2663","11"
"Sean Renfree / TB / QB","2664","11"
"Chad Henne / Jax / QB","2665","8"
"Alek Torgersen / Atl / QB","2666","5"
"Cooper Rush / Dal / QB","2667","6"
"Christian Ponder / SF / QB","2668","11"
"Geno Smith / NYG / QB","2669","8"
"Zac Dysert / Dal / QB","2670","6"
"Sefo Liufau / TB / QB","2671","11"
"Connor Shaw / Chi / QB","2672","9"
"Joel Stave / KC / QB","2673","10"
"Bart Houston / Pit / QB","2674","9"
"David Fales / Mia / QB","2675","11"
"Mark Sanchez / Chi / QB","2676","9"
"Cardale Jones / LAC / QB","2677","9"
"Wes Lunt / Min / QB","2678","9"
"Brad Kaaya / Det / QB","2679","7"
"Colt McCoy / Was / QB","2680","5"
"Nate Sudfeld / Was / QB","2681","5"
"Scott Tolzien / Ind / QB","2682","11"
"Matt McGloin / Phi / QB","2683","10"
"Josh Johnson / NYG / QB","2684","8"
"Brandon Doughty / Mia / QB","2685","11"
"Matt Schaub / Atl / QB","2686","5"
"Nick Mullens / SF / QB","2687","11"
"Alex Tanney / Ten / QB","2688","8"
"Shaun Hill / Min / QB","2689","9"
"Jake Rudock / Det / QB","2690","7"
"Jake Heaps / Sea / QB","2691","6"
"Christian Hackenberg / NYJ / QB","2692","11"
"Kellen Clemens / LAC / QB","2693","9"
"Connor Cook / Oak / QB","2694","10"
"Aaron Murray / LAR / QB","2695","8"
"Sean Mannion / LAR / QB","2696","8"
"Garrett Grayson / NO / QB","2697","5"
