"name","rank_proj","bye"
"David Johnson / Ari / RB","1","8"
"Le'Veon Bell / Pit / RB","2","9"
"Ezekiel Elliott / Dal / RB","4","6"
"LeSean McCoy / Buf / RB","7","6"
"Melvin Gordon / LAC / RB","9","9"
"Jordan Howard / Chi / RB","10","9"
"Jay Ajayi / Mia / RB","11","11"
"Devonta Freeman / Atl / RB","13","5"
"DeMarco Murray / Ten / RB","16","8"
"Leonard Fournette / Jax / RB","17","8"
"Lamar Miller / Hou / RB","21","7"
"Todd Gurley / LAR / RB","22","8"
"Isaiah Crowell / Cle / RB","23","9"
"Christian McCaffrey / Car / RB","27","11"
"Joe Mixon / Cin / RB","28","6"
"Mike Gillislee / NE / RB","32","9"
"Marshawn Lynch / Oak / RB","34","10"
"Ty Montgomery / GB / RB","37","8"
"Carlos Hyde / SF / RB","43","11"
"Spencer Ware / KC / RB","49","10"
"Eddie Lacy / Sea / RB","51","6"
"Mark Ingram / NO / RB","54","5"
"C.J. Anderson / Den / RB","55","5"
"Dalvin Cook / Min / RB","57","9"
"LeGarrette Blount / Phi / RB","59","10"
"Tevin Coleman / Atl / RB","61","5"
"Ameer Abdullah / Det / RB","66","7"
"Adrian Peterson / NO / RB","68","5"
"Bilal Powell / NYJ / RB","69","11"
"Frank Gore / Ind / RB","72","11"
"Paul Perkins / NYG / RB","73","8"
"Samaje Perine / Was / RB","83","5"
"Doug Martin / TB / RB","87","11"
"Derrick Henry / Ten / RB","93","8"
"Matt Forte / NYJ / RB","95","11"
"Danny Woodhead / Bal / RB","96","10"
"Jonathan Stewart / Car / RB","102","11"
"Latavius Murray / Min / RB","103","9"
"Theo Riddick / Det / RB","111","7"
"C.J. Prosise / Sea / RB","123","6"
"Kenneth Dixon / Bal / RB","125","10"
"Rob Kelley / Was / RB","129","5"
"James White / NE / RB","134","9"
"Terrance West / Bal / RB","137","10"
"Jeremy Hill / Cin / RB","138","6"
"Duke Johnson Jr. / Cle / RB","139","9"
"Thomas Rawls / Sea / RB","140","6"
"Giovani Bernard / Cin / RB","152","6"
"Jamaal Charles / Den / RB","166","5"
"Joe Williams / SF / RB","171","11"
"Darren Sproles / Phi / RB","174","10"
"Alvin Kamara / NO / RB","177","5"
"Marlon Mack / Ind / RB","182","11"
"Jamaal Williams / GB / RB","184","8"
"Jacquizz Rodgers / TB / RB","186","11"
"Rex Burkhead / NE / RB","195","9"
"T.J. Yeldon / Jax / RB","197","8"
"Robert Turbin / Ind / RB","198","11"
"DeAndre Washington / Oak / RB","204","10"
"Dion Lewis / NE / RB","205","9"
"Ryan Mathews / Phi / RB","210","10"
"Charles Sims / TB / RB","212","11"
"Jeremy McNichols / TB / RB","217","11"
"D'Onta Foreman / Hou / RB","226","7"
"Jalen Richard / Oak / RB","263","10"
"DeAngelo Williams / Pit / RB","272","9"
"Matt Jones / Was / RB","273","5"
"Rashad Jennings / NYG / RB","275","8"
"Chris Ivory / Jax / RB","279","8"
"Tim Hightower / SF / RB","280","11"
"Christine Michael / Ind / RB","286","11"
"Jerick McKinnon / Min / RB","291","9"
"Devontae Booker / Den / RB","294","5"
"Chris Thompson / Was / RB","296","5"
"Zach Zenner / Det / RB","297","7"
"Shane Vereen / NYG / RB","303","8"
"Justin Forsett / Den / RB","1853","5"
"Matt Asiata / Det / RB","1874","7"
"Jeremy Langford / Chi / RB","1880","9"
"Kerwynn Williams / Ari / RB","1882","8"
"Shaun Draughn / NYG / RB","1883","8"
"James Starks / GB / RB","1886","8"
"Charcandrick West / KC / RB","1891","10"
"Chris Johnson / Ari / RB","1895","8"
"Darren McFadden / Dal / RB","1919","6"
"Alfred Blue / Hou / RB","1932","7"
"Damien Williams / Mia / RB","1943","11"
"DuJuan Harris / SF / RB","1950","11"
"Ronnie Hillman / Dal / RB","2066","6"
"Khiry Robinson / NYJ / RB","2079","11"
"Travaris Cadet / NO / RB","2080","5"
"Joique Bell / Det / RB","2086","7"
"Wendell Smallwood / Phi / RB","2099","10"
"Orleans Darkwa / NYG / RB","2107","8"
"Trey Edmunds / NO / RB,TE","2114","5"
"Tyler McCloskey / SF / RB,TE","2115","11"
"Anthony Firkser / NYJ / RB,TE","2116","11"
"Cameron Artis-Payne / Car / RB","2117","11"
"Dwayne Washington / Det / RB","2334","7"
"Alfred Morris / Dal / RB","2350","6"
