owner,player,bye,fan_pts,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec_tgt,rec_recp,rec_yds,rec_td,ret_td,2pt,fum_lost
Salamander Fiends,Le'Veon Bell ?,8,237,0,0,0,261,1268,7,94,75,616,2,0,1,1
Salamander Fiends,LeGarrette Blount,4,222,0,0,0,299,1161,18,8,7,38,0,0,0,1
Salamander Fiends,Drew Brees ?,5,304,5208,37,15,23,20,2,0,0,0,0,0,0,4
Salamander Fiends,Kenny Britt,13,123,0,0,0,0,0,0,111,68,1002,5,0,0,1
Salamander Fiends,Tevin Coleman,11,149,0,0,0,118,520,8,40,31,421,3,0,0,0
Salamander Fiends,Stefon Diggs,6,106,0,0,0,3,10,0,112,84,903,3,0,0,0
Salamander Fiends,Zach Ertz,4,100,0,0,0,0,0,0,106,78,816,4,0,0,0
Salamander Fiends,Tyreek Hill,5,144,0,0,0,24,267,3,83,61,593,6,3,0,1
Salamander Fiends,LeSean McCoy ?,10,245,0,0,0,234,1267,13,57,50,356,1,0,1,0
Salamander Fiends,Donte Moncrief,10,69,0,0,0,1,-1,0,56,30,307,7,0,0,0
Salamander Fiends,Matt Ryan,11,316,4944,38,7,35,117,0,0,0,0,0,0,2,2
Salamander Fiends,Sammy Watkins,10,54,0,0,0,0,0,0,52,28,430,2,0,0,0
C$,C.J. Anderson,11,81,0,0,0,110,437,4,24,16,128,1,0,0,0
C$,Antonio Brown ?,8,196,0,0,0,3,9,0,154,106,1284,12,0,0,0
C$,Michael Crabtree,10,147,0,0,0,0,0,0,145,89,1003,8,0,1,0
C$,Jeremy Hill,9,149,0,0,0,222,839,9,27,21,174,0,0,0,0
C$,Julio Jones ?,11,177,0,0,0,0,0,0,129,83,1409,6,0,0,0
C$,Malcolm Mitchell,9,59,0,0,0,0,0,0,48,32,401,4,0,0,0
C$,Terrelle Pryor Sr.,9,129,41,0,0,8,21,1,140,77,1007,4,0,1,0
C$,Theo Riddick,10,99,0,0,0,92,357,1,67,53,371,5,0,0,0
C$,Allen Robinson ?,5,120,0,0,0,0,0,0,151,73,883,6,0,1,0
C$,Jonathan Stewart,7,130,0,0,0,218,824,9,21,8,60,0,0,0,2
C$,Jameis Winston,6,219,4090,28,18,53,165,1,0,0,0,0,0,3,6
ChildPlease,Tavon Austin,8,78,0,0,0,28,159,1,106,58,509,3,0,0,1
ChildPlease,Jared Cook,10,37,0,0,0,0,0,0,51,30,377,1,0,0,1
ChildPlease,Larry Fitzgerald,9,132,0,0,0,2,5,0,150,107,1023,6,0,0,1
ChildPlease,Matt Forte,11,143,0,0,0,218,813,7,43,30,263,1,0,0,1
ChildPlease,Rob Gronkowski ?,9,72,0,0,0,0,0,0,38,25,540,3,0,0,0
ChildPlease,Jordan Howard,9,196,0,0,0,252,1313,6,50,29,298,1,0,0,1
ChildPlease,Alshon Jeffery ?,4,90,0,0,0,0,0,0,94,52,821,2,0,0,0
ChildPlease,Doug Martin ?,6,66,0,0,0,144,421,3,16,14,134,0,0,0,1
ChildPlease,Dennis Pitta,8,77,0,0,0,0,0,0,121,86,729,2,0,0,1
ChildPlease,Aaron Rodgers ?,4,363,4428,40,7,67,369,4,0,0,0,0,0,2,4
ChildPlease,Steve Smith Sr.,8,108,0,0,0,0,0,0,101,70,799,5,0,2,0
ChildPlease,Golden Tate,10,127,0,0,0,10,4,0,135,91,1077,4,0,1,1
Grey Nut Grabbers,Jay Ajayi,8,181,0,0,0,260,1272,8,35,27,151,0,0,0,1
Grey Nut Grabbers,Cameron Brate,6,106,0,0,0,0,0,0,81,57,660,8,0,0,0
Grey Nut Grabbers,Jamaal Charles ?,11,10,0,0,0,12,40,1,3,2,14,0,0,0,0
Grey Nut Grabbers,Amari Cooper,10,143,0,0,0,1,0,0,132,83,1153,5,0,2,0
Grey Nut Grabbers,Devonta Freeman ?,11,218,0,0,0,227,1079,11,65,54,462,2,0,0,1
Grey Nut Grabbers,Taylor Gabriel,11,98,0,0,0,4,51,1,50,35,579,6,0,0,0
Grey Nut Grabbers,DeAndre Hopkins ?,9,114,0,0,0,0,0,0,151,78,954,4,0,0,0
Grey Nut Grabbers,Travis Kelce,5,139,0,0,0,1,-5,0,117,85,1125,4,0,1,0
Grey Nut Grabbers,Rishard Matthews,13,144,0,0,0,0,0,0,108,65,945,9,0,0,1
Grey Nut Grabbers,Ty Montgomery,4,88,0,0,0,77,457,3,56,44,348,0,0,0,1
Grey Nut Grabbers,Jordy Nelson ?,4,205,0,0,0,0,0,0,152,97,1257,14,0,0,1
Grey Nut Grabbers,Matthew Stafford,10,233,4327,24,10,37,207,2,0,0,0,0,0,1,2
He Hate Me,Davante Adams,4,170,0,0,0,0,0,0,121,75,997,12,0,1,1
He Hate Me,Doug Baldwin,5,157,15,1,0,3,2,0,125,94,1128,7,0,0,0
He Hate Me,Tom Brady,9,241,3554,28,2,28,64,0,0,0,0,0,0,1,0
He Hate Me,Julian Edelman,9,124,0,0,0,12,57,0,159,98,1106,3,0,1,2
He Hate Me,Ezekiel Elliott,7,287,0,0,0,322,1631,15,40,32,363,1,0,0,1
He Hate Me,Kenneth Farrow,11,18,0,0,0,60,192,0,16,13,70,0,0,0,1
He Hate Me,Melvin Gordon,11,202,0,0,0,254,997,10,57,41,419,2,0,0,2
He Hate Me,Brandon Marshall ?,8,91,0,0,0,0,0,0,128,59,788,3,0,0,0
He Hate Me,Thomas Rawls ?,5,57,0,0,0,109,349,3,17,13,96,0,0,0,0
He Hate Me,Willie Snead,5,114,50,1,0,0,0,0,104,72,895,4,0,0,0
He Hate Me,Delanie Walker,13,118,0,0,0,2,11,0,102,65,800,7,0,0,0
He Hate Me,Russell Wilson ?,5,216,4219,21,11,72,259,1,2,2,14,1,0,1,2
Purple People Beater,Martellus Bennett,4,108,0,0,0,2,10,0,73,55,701,7,0,0,0
Purple People Beater,Tyler Eifert,9,65,0,0,0,0,0,0,47,29,394,5,0,0,0
Purple People Beater,T.Y. Hilton ?,10,182,0,0,0,0,0,0,155,91,1448,6,0,1,0
Purple People Beater,Mark Ingram ?,5,184,0,0,0,205,1043,6,58,46,319,4,0,2,2
Purple People Beater,Rashad Jennings,8,92,0,0,0,181,593,3,42,35,201,1,0,0,0
Purple People Beater,Jordan Matthews,4,92,0,0,0,0,0,0,117,73,804,3,0,0,0
Purple People Beater,Lamar Miller ?,9,152,0,0,0,268,1073,5,39,31,188,1,0,0,1
Purple People Beater,Latavius Murray,6,166,0,0,0,195,788,12,43,33,264,0,0,0,1
Purple People Beater,Philip Rivers,11,234,4386,33,21,14,35,0,0,0,0,0,0,0,5
Purple People Beater,Emmanuel Sanders,11,128,0,0,0,1,4,0,137,79,1032,5,0,0,0
Purple People Beater,Darren Sproles,4,98,0,0,0,94,438,2,71,52,427,2,0,0,0
Purple People Beater,Demaryius Thomas,11,132,0,0,0,0,0,0,144,90,1083,5,0,1,2
Romocop,Dez Bryant ?,7,131,10,1,0,0,0,0,96,50,796,8,0,0,1
Romocop,Jamison Crowder,9,125,0,0,0,2,-2,0,99,67,847,7,1,0,1
Romocop,Carlos Hyde,8,156,0,0,0,217,988,6,33,27,163,3,0,1,3
Romocop,Duke Johnson Jr.,13,78,0,0,0,73,358,1,74,53,514,0,0,0,1
Romocop,Eli Manning,8,193,4027,26,16,21,-9,0,0,0,0,0,0,0,4
Romocop,Jerick McKinnon,6,95,0,0,0,159,539,2,53,43,255,2,0,1,0
Romocop,Cam Newton ?,7,212,3509,19,14,90,359,5,0,0,0,0,0,2,2
Romocop,Greg Olsen,7,123,0,0,0,0,0,0,129,80,1073,3,0,1,0
Romocop,Adrian Peterson ?,5,4,0,0,0,37,72,0,6,3,8,0,0,0,1
Romocop,Sterling Shepard,8,115,0,0,0,3,31,0,105,65,683,8,0,0,0
Romocop,Spencer Ware,5,149,0,0,0,214,921,3,42,33,447,2,0,0,3
Romocop,Tyrell Williams,11,145,0,0,0,0,0,0,119,69,1059,7,0,0,0
The White Walkers,Mike Evans ?,6,204,0,0,0,0,0,0,173,96,1321,12,0,2,0
The White Walkers,Jimmy Graham,5,121,0,0,0,1,0,0,95,65,923,6,0,0,2
The White Walkers,Todd Gurley ?,8,141,0,0,0,278,885,6,58,43,327,0,0,0,1
The White Walkers,DeSean Jackson,6,123,0,0,0,0,0,0,100,56,1005,4,0,0,0
The White Walkers,Rob Kelley,9,111,0,0,0,168,704,6,18,12,82,1,0,0,0
The White Walkers,Jarvis Landry,8,132,0,0,0,5,17,0,131,94,1136,4,0,1,2
The White Walkers,Andrew Luck,10,278,4240,31,13,64,341,2,0,0,0,0,0,2,5
The White Walkers,Dak Prescott,7,244,3667,23,4,57,282,6,0,0,0,0,0,0,4
The White Walkers,Michael Thomas,5,160,0,0,0,0,0,0,121,92,1137,9,0,0,2
The White Walkers,Terrance West,8,125,0,0,0,193,774,5,45,34,236,1,0,0,0
toomanykids,Cole Beasley,7,105,0,0,0,1,7,0,98,75,833,5,0,0,0
toomanykids,Devontae Booker,11,98,0,0,0,174,612,4,45,31,265,1,0,0,3
toomanykids,Brandin Cooks ?,9,162,0,0,0,6,30,0,117,78,1173,8,0,0,0
toomanykids,Kirk Cousins,9,249,4917,25,12,34,96,4,0,0,0,0,0,0,3
toomanykids,Isaiah Crowell,13,157,0,0,0,198,952,7,53,40,319,0,0,0,2
toomanykids,Frank Gore,10,166,0,0,0,263,1025,4,47,38,277,4,0,0,1
toomanykids,A.J. Green ?,9,120,0,0,0,0,0,0,100,66,964,4,0,0,0
toomanykids,Ryan Mathews,4,127,0,0,0,155,661,8,14,13,115,1,0,2,2
toomanykids,Ben Roethlisberger,8,232,3819,29,13,16,14,1,0,0,0,0,0,3,2
toomanykids,Kyle Rudolph,6,121,0,0,0,0,0,0,132,83,840,7,0,0,0
toomanykids,Mohamed Sanu,11,83,0,0,0,1,5,0,81,59,653,4,0,1,1
toomanykids,Mike Wallace,8,126,0,0,0,5,31,0,117,72,1017,4,0,1,0
Wasteland Warriors,Odell Beckham Jr. ?,8,192,0,0,0,1,9,0,169,101,1367,10,0,0,1
Wasteland Warriors,Kelvin Benjamin,7,129,0,0,0,0,0,0,118,63,941,7,0,0,1
Wasteland Warriors,Anquan Boldin,10,99,0,0,0,0,0,0,95,67,584,8,0,0,0
Wasteland Warriors,Tyler Boyd,9,61,0,0,0,4,58,0,81,54,603,1,0,0,1
Wasteland Warriors,Derek Carr,10,238,3937,28,6,39,70,0,0,0,0,0,0,5,3
Wasteland Warriors,Pierre Garcon,8,114,0,0,0,0,0,0,114,79,1041,3,0,0,0
Wasteland Warriors,David Johnson ?,9,318,0,0,0,293,1239,16,120,80,879,4,0,1,3
Wasteland Warriors,Marcus Mariota,13,231,3426,26,9,60,349,2,1,0,0,0,0,0,5
Wasteland Warriors,DeMarco Murray,13,236,10,1,0,293,1287,9,67,53,377,3,0,0,1
Wasteland Warriors,J.J. Nelson,9,99,0,0,0,4,83,1,74,34,568,6,0,0,1
Wasteland Warriors,Jordan Reed,9,98,0,0,0,0,0,0,89,66,686,6,0,0,1
