"name","rank_proj","bye"
"Antonio Brown / Pit / WR","3","9"
"Odell Beckham Jr. / NYG / WR","5","8"
"Mike Evans / TB / WR","6","11"
"Julio Jones / Atl / WR","8","5"
"A.J. Green / Cin / WR","12","6"
"Jordy Nelson / GB / WR","14","8"
"Michael Thomas / NO / WR","15","5"
"T.Y. Hilton / Ind / WR","18","11"
"Dez Bryant / Dal / WR","19","6"
"Doug Baldwin / Sea / WR","20","6"
"Amari Cooper / Oak / WR","24","10"
"DeAndre Hopkins / Hou / WR","25","7"
"Brandin Cooks / NE / WR","26","9"
"Demaryius Thomas / Den / WR","29","5"
"Terrelle Pryor Sr. / Was / WR","36","5"
"Sammy Watkins / Buf / WR","38","6"
"Alshon Jeffery / Phi / WR","39","10"
"Allen Robinson / Jax / WR","40","8"
"Tyreek Hill / KC / WR","42","10"
"Davante Adams / GB / WR","44","8"
"Michael Crabtree / Oak / WR","45","10"
"Martavis Bryant / Pit / WR","48","9"
"Emmanuel Sanders / Den / WR","52","5"
"Keenan Allen / LAC / WR","53","9"
"Julian Edelman / NE / WR","56","9"
"Jarvis Landry / Mia / WR","60","11"
"Jamison Crowder / Was / WR","62","5"
"Larry Fitzgerald / Ari / WR","64","8"
"Willie Snead / NO / WR","70","5"
"Golden Tate / Det / WR","74","7"
"Donte Moncrief / Ind / WR","75","11"
"DeSean Jackson / TB / WR","76","11"
"Brandon Marshall / NYG / WR","79","8"
"Tyrell Williams / LAC / WR","80","9"
"Kelvin Benjamin / Car / WR","82","11"
"Cameron Meredith / Chi / WR","84","9"
"DeVante Parker / Mia / WR","88","11"
"Pierre Garcon / SF / WR","89","11"
"Eric Decker / Ten / WR","91","8"
"Jeremy Maclin / Bal / WR","99","10"
"Stefon Diggs / Min / WR","100","9"
"Kenny Britt / Cle / WR","105","9"
"Randall Cobb / GB / WR","107","8"
"John Brown / Ari / WR","110","8"
"Adam Thielen / Min / WR","113","9"
"Mike Wallace / Bal / WR","116","10"
"Jordan Matthews / Phi / WR","117","10"
"Corey Coleman / Cle / WR","119","9"
"Corey Davis / Ten / WR","120","8"
"Quincy Enunwa / NYJ / WR","121","11"
"Marvin Jones Jr. / Det / WR","122","7"
"Rishard Matthews / Ten / WR","124","8"
"Breshad Perriman / Bal / WR","130","10"
"Tyler Lockett / Sea / WR","135","6"
"Ted Ginn Jr. / NO / WR","141","5"
"John Ross / Cin / WR","146","6"
"Will Fuller V / Hou / WR","148","7"
"Sterling Shepard / NYG / WR","149","8"
"Kevin White / Chi / WR","157","9"
"Robert Woods / LAR / WR","160","8"
"Josh Doctson / Was / WR","161","5"
"Kenny Stills / Mia / WR","164","11"
"Zay Jones / Buf / WR","168","6"
"J.J. Nelson / Ari / WR","170","8"
"Taylor Gabriel / Atl / WR","172","5"
"Allen Hurns / Jax / WR","176","8"
"Malcolm Mitchell / NE / WR","178","9"
"Cole Beasley / Dal / WR","179","6"
"Robby Anderson / NYJ / WR","190","11"
"Devin Funchess / Car / WR","196","11"
"Tavon Austin / LAR / WR","199","8"
"Chris Hogan / NE / WR","207","9"
"Mohamed Sanu / Atl / WR","211","5"
"Torrey Smith / Phi / WR","215","10"
"Tyler Boyd / Cin / WR","221","6"
"Cooper Kupp / LAR / WR","222","8"
"Brandon LaFell / Cin / WR","230","6"
"Travis Benjamin / LAC / WR","232","9"
"Chris Conley / KC / WR","234","10"
"Anquan Boldin / Det / WR","235","7"
"Michael Floyd / Min / WR","238","9"
"Mike Williams / LAC / WR","240","9"
"Eli Rogers / Pit / WR","244","9"
"Curtis Samuel / Car / WR","247","11"
"Markus Wheaton / Chi / WR","249","9"
"Paul Richardson / Sea / WR","259","6"
"Terrance Williams / Dal / WR","261","6"
"Albert Wilson / KC / WR","262","10"
"Kendall Wright / Chi / WR","267","9"
"Josh Gordon / Cle / WR","268","9"
"Kenny Golladay / Det / WR","269","7"
"Marqise Lee / Jax / WR","281","8"
"Dontrelle Inman / LAC / WR","282","9"
"Eddie Royal / Chi / WR","292","9"
"Adam Humphries / TB / WR","437","11"
"Seth Roberts / Oak / WR","1859","10"
"Darrius Heyward-Bey / Pit / WR","1861","9"
"Jeremy Kerley / SF / WR","1881","11"
"Danny Amendola / NE / WR","1887","9"
"Vincent Jackson / TB / WR","1889","11"
